ID,Problem Name,Difficulty,Topic,Main Idea,Solution,Similar problems
206,Reverse Linked List,Easy,Linked List,Iteratively is straightforward but recursively is a little bit tricky.,,
21,Merge Two Sorted Lists,Easy,Linked List,Recursion make solution much cleaner for Problem 21. Use heap for Problem 23.,,23
160,Intersection of Two Linked Lists,Easy,Linked List,Connect the end of a list to the head of the other list.,,
19,Remove Nth Node From End of List,Medium,Linked List,Use two pointers and let one move N times first.,,
24,Swap Nodes in Pairs,Medium,Linked List,Use recursion and divide & conquer.,,
2,Add Two Numbers,Medium,Linked List,"Iterate, add number and make new linked list.",,445
725,Split Linked List in Parts,Medium,Linked List,"Find length n, and use n//k and n%k to determine the size for each part.",,
328,Odd Even Linked List,Medium,Linked List,"Use odd and even pointers, and a node to save the head of the even list.",,
148,Sort List,Medium,Linked List,Slow and fast pointers + merge sort,,
234,Palindrome Linked List,Medium,Linked List,Use slow and fast pointers to cut it into halves. Reverse the second half and compare with the first half.,,
167,Two Sum II - Input array is sorted,Easy,Two Pointers,Head and tail pointers move toward the middle.,,"15, 16"
633,Sum of Square Numbers,Easy,Two Pointers,Head and tail (square root) pointers move toward the middle.,,
345,Reverse Vowels of a String,Easy,Two Pointers,Head and tail pointers move toward the middle.,,
917,Reverse Only Letters,Easy,Two Pointers,Head and tail pointers move toward the middle.,,
125,Valid Palindrome,Easy,Two Pointers,Head and tail pointers move toward the middle.,,680
88,Merge Sorted Array,Easy,Two Pointers,Two pointers initialized at the ends.,,
977,Squares of a Sorted Array,Easy,Two Pointers,Head and tail pointer moves based on certain condition.,,
925,Long Pressed Name,Easy,Two Pointers,"Two pointers, one moves based on certain condition.",,"56, 986"
141,Linked List Cycle,Medium,Two Pointers,Slow and fast pointers,,142
524,Longest Word in Dictionary through Deleting,Medium,Two Pointers,Use two pointers to check if one string is a substring of another.,,
11,Container With Most Water,Medium,Two Pointers,Head and tail pointers move toward the middle.,,42
69,Sqrt(x),Easy,Binary Search,,,
35,Search Insert Position,Easy,Binary Search,bisect.bisect_left(),,704
278,First Bad Version,Easy,Binary Search,,,981
744,Find Smallest Letter Greater Than Target,Easy,Binary Search,Be careful about the 'wrap around' constraint and duplicates. Use bisect.bisect() function.,,
875,Koko Eating Bananas,Medium,Binary Search,Search by checking validity.,,1011
74,Search a 2D Matrix,Medium,Binary Search,Search row and then search column or treat 2D as 1D array.,,
34,Find First and Last Position of Element in Sorted Array,Medium,Binary Search,Use both bisect.bisect_left() and bisect.bisect().,,
33,Search in Rotated Sorted Array,Medium,Binary Search,left +=1 and right -= 1 if nums[left]==nums[mid]==nums[right].,,"81, 153, 154"
540,Single Element in a Sorted Array,Medium,Binary Search,"This problem is tricky. If mid is even and nums[mid] == nums[mid+1], then left = mid+2. If mid is odd, then mid -= 1 and check condition.",,
378,Kth Smallest Element in a Sorted Matrix,Medium,Binary Search,"Nested binary searches. Outer one search for the target, and inner one is used to calculate how many elements are less than or equal to the target candidate in each row. Another idea is to use min heap.",,
719,Find K-th Smallest Pair Distance,Hard,Binary Search,"Sort array first, and then search by checking validity.",,
4,Median of Two Sorted Arrays,Hard,Binary Search,Binary search using the shorter list based on condition nums_short[mid1] <? nums_long[mid2-1].,,
700,Search in a Binary Search Tree,Easy,Binary Search Tree,Recursion and search in half of the subtree each time.,,701
669,Trim a Binary Search Tree,Easy,Binary Search Tree,"Recursion, and check current node value with lower and upper bounds",,
653,Two Sum IV - Input is a BST,Easy,Binary Search Tree,"Use inorder to get a sorted array, and use two pointers.",,
235,Lowest Common Ancestor of a Binary Search Tree,Easy,Binary Search Tree,"Recursion, and check current node value with the values of the two given nodes",,236
98,Validate Binary Search Tree,Medium,Binary Search Tree,Check value with lower and upper bounds for each node. Another way is to leverage inorder traversal.,,530
230,Kth Smallest Element in a BST,Medium,Binary Search Tree,Inorder traversal,,
108,Convert Sorted Array to Binary Search Tree,Easy,Binary Search Tree,Divide array by half and use recursion.,,109
501,Find Mode in Binary Search Tree,Easy,Binary Search Tree,"Be careful to the BST definition, and use inorder traversal",,
450,Delete Node in a BST,Medium,Binary Search Tree,"The deleted node could have no child, 1 child, and 2 children (which is the most tricky part)",,
1008,Construct Binary Search Tree from Preorder Traversal,Medium,Binary Search Tree,"Use recursion and for each node, update the lower and upper values for its children.",,
99,Recover Binary Search Tree,Hard,Binary Search Tree,Inorder traversal to find the two nodes and swap them,,
155,Min Stack,Easy,Stack and Queue,"Push a tuple (x, minimum) into stack.",,
232,Implement Queue using Stacks,Easy,Stack and Queue,Be careful about the amortized time complexity of each operation. Use two stacks.,,
1047,Remove All Adjacent Duplicates In String,Easy,Stack and Queue,Use stack.,,1209
20,Valid Parentheses,Easy,Stack and Queue,Be careful about the type of parentheses. Maybe use a dict to simplify code.,,"921, 1249"
739,Daily Temperatures,Medium,Stack and Queue,"Iterate through array, and pop util current temp smaller than or equal to temp at the top of the stack. Otherwise, push.",,402
